Country,Country_Code,Year,Fertility_Rate,Urban_Population_Percent,Total_Population,Water_Access_Percent,Unemployment_Rate,Sanitary_Expense_Per_GDP,Life_Expectancy,Life_Expectancy_Female,Life_Expectancy_Male,Infant_Deaths,GDP_Per_Capita,Hospital_Beds_Per_1000,Female_Population,Male_Population,Alcohol_Consumption_Per_Capita,Immunization_Rate,Sanitary_Expense_Per_Capita,CO2_Exposure_Percent,Air_Pollution,Labour_Force_Total,Tuberculosis_Per_100000,Suicide_Rate_Percent,Obesity_Rate_Percent,Underweight_Rate_Percent,Overweight_Rate_Percent,Safe_Water_Access_Percent
Afghanistan,AFG,2012,5.83,24.16,30466479.0,21.1239963442836,7.909,7.89716864,61.923,63.514,60.317,70669.0,653.417474910283,0.47,15067373.0,15399105.0,0.004,67.0,52.61354065,70.9223165078033,70.9223165078033,7520865.0,189.0,3.68,10.7,10.15,31.55,46.68
Afghanistan,AFG,2013,5.696,24.373,31541209.0,22.0344697184414,7.919,8.80596447,62.417,64.027,60.791,70906.0,638.73318101404,0.46,15594637.0,15946572.0,0.004,64.0,56.30554199,73.1318159038053,73.1318159038053,7881567.0,189.0,3.66,11.55,10.79,32.73,49.45
Afghanistan,AFG,2014,5.56,24.587,32716210.0,22.9443007139289,7.915,9.52887821,62.545,64.274,60.812,70288.0,626.512929086139,0.46,16172321.0,16543889.0,0.004,62.0,60.18957901,77.1437275538632,77.1437275538632,8285362.0,189.0,3.6,10.44,10.17,33.95,52.25
Afghanistan,AFG,2015,5.405,24.803,33753499.0,23.8535895499243,9.011,10.10534763,62.659,64.576,60.76,70068.0,566.881129708434,0.44,16682054.0,17071446.0,0.009,64.0,60.05854034,73.4908176326415,73.4908176326415,8630724.0,189.0,3.57,11.19,10.52,35.19,55.09
Afghanistan,AFG,2016,5.262,25.02,34636207.0,24.7622201760444,10.1,11.81859016,63.136,65.096,61.193,69144.0,523.053011984748,0.45,17115346.0,17520861.0,0.013,66.0,61.48645782,72.7659101386992,72.7659101386992,8913938.0,189.0,3.61,11.99,7.88,36.45,57.97
Afghanistan,AFG,2017,5.129,25.25,35643418.0,25.6714172375918,11.184,12.62081718,63.016,66.099,60.105,67644.0,526.140801025756,0.42,17614722.0,18028696.0,0.017,66.0,66.90921783,65.8623470043896,65.8623470043896,9254593.0,189.0,3.44,10.04,7.39,37.73,60.89
Afghanistan,AFG,2018,5.002,25.495,36686784.0,26.5813145377719,11.206,14.20841885,63.081,66.458,59.923,66824.0,492.090630986151,0.4,18136922.0,18549862.0,0.016,72.0,71.33430481,67.2271774798558,67.2271774798558,9242721.0,189.0,3.52,10.65,6.92,39.0,63.85
Afghanistan,AFG,2019,4.87,25.754,37769499.0,27.4917341128464,11.224,14.83131981,63.565,66.677,60.619,66092.0,497.741431256813,0.38,18679089.0,19090409.0,0.016,72.0,74.23410797,58.3308722306744,58.3308722306744,9220323.0,189.0,3.61,11.29,6.49,40.27,66.85
Afghanistan,AFG,2020,4.75,26.026,38972230.0,28.4025051496417,11.71,15.53361416,62.575,65.432,59.866,65340.0,512.055098005672,0.34,19279930.0,19692301.0,0.011,70.0,80.28805542,46.0870936659706,46.0870936659706,9105733.0,183.0,,11.95,6.08,41.54,69.89
Afghanistan,AFG,2021,4.643,26.314,40099462.0,29.3138430014086,11.934,21.82794952,61.982,65.279,58.915,64996.0,355.777826392648,0.36,19844584.0,20254878.0,,66.0,81.31976318,,,9356574.0,185.0,,12.64,5.7,42.81,72.96
Albania,ALB,2012,1.692,54.33,2900401.0,66.3808520347694,13.376,6.15746212,78.064,80.703,75.73,352.0,4247.63134315945,2.89,1445914.0,1454486.0,5.37,99.0,262.2885437,20.9627204112539,20.9627204112539,1328695.0,16.0,3.42,15.7,0.68,53.49,88.56
Albania,ALB,2013,1.697,55.387,2895092.0,68.459832807363,15.866,6.28286266,78.123,80.781,75.786,330.0,4413.06338346821,2.9,1442931.0,1452162.0,5.04,99.0,278.04251099,19.4075322522058,19.4075322522058,1227940.0,19.0,3.54,16.27,0.68,53.9,89.25
Albania,ALB,2014,1.674,56.423,2889104.0,70.5632610188294,18.055,6.43451118,78.407,81.013,76.114,312.0,4578.63320812155,2.88,1439863.0,1449241.0,5.0,98.0,295.12359619,19.3679442180935,19.3679442180935,1256110.0,16.0,3.22,16.88,0.68,54.31,89.94
