primary,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,usersrated,AveRating,stddev,usersweighted,AveWeight,Board Game Rank,Strategy Game Rank,Family Game Rank
Pandemic,2008,2,4,45,45,45,8,109006,7.58896,1.32857,5597,2.4063,106,121,18
Carcassonne,2000,2,5,45,30,45,7,108776,7.41837,1.30532,7690,1.9057,191,,41
Catan,1995,3,4,120,60,120,10,108064,7.13598,1.48179,7526,2.313,429,413,131
7 Wonders,2010,2,7,30,30,30,10,90021,7.73515,1.27613,4774,2.3264,73,71,9
Dominion,2008,2,4,30,30,30,13,81582,7.61,1.42343,4997,2.3542,104,108,
Ticket to Ride,2004,2,5,60,30,60,8,76207,7.41291,1.29647,4681,1.8445,192,,40
Codenames,2015,2,8,15,15,15,14,74456,7.59814,1.29937,1912,1.2788,101,,
Terraforming Mars,2016,1,5,120,120,120,12,74269,8.41702,1.3877,3053,3.2434,4,6,
7 Wonders Duel,2015,2,2,30,30,30,10,69528,8.1083,1.18213,2175,2.2234,16,20,
Agricola,2007,1,5,150,30,150,12,66107,7.92581,1.55446,6100,3.6395,36,40,
Puerto Rico,2002,3,5,150,90,150,12,65455,7.96662,1.3878,6067,3.2769,31,36,
Splendor,2014,2,4,30,30,30,10,64734,7.44,1.29207,2295,1.7939,183,,37
Scythe,2016,1,5,115,90,115,14,64611,8.21868,1.43603,2570,3.4261,14,12,
Small World,2009,2,5,80,40,80,8,64580,7.246,1.30092,3304,2.3544,280,245,62
Ticket to Ride: Europe,2005,2,5,60,30,60,8,63292,7.54362,1.19318,3587,1.9311,131,,25
Azul,2017,2,4,45,30,45,8,62860,7.79966,1.14986,1639,1.7639,58,,7
King of Tokyo,2011,2,6,30,30,30,8,61141,7.16923,1.3235,2577,1.4901,345,,84
Love Letter,2012,2,4,20,20,20,10,59484,7.23308,1.34062,2639,1.1914,293,,67
Power Grid,2004,2,6,120,120,120,12,58614,7.84218,1.33729,4769,3.2667,48,49,
Wingspan,2019,1,5,70,40,70,10,56146,8.10005,1.34823,1953,2.4393,23,24,1
Dixit,2008,3,6,30,30,30,8,54525,7.24135,1.38153,2102,1.2127,299,,
