Player,Team,League,AtBats,Hits,BattingAvg
Pavin Smith,Arizona Diamondbacks,NL,191,36,0.188
José Herrera,Arizona Diamondbacks,NL,101,21,0.208
Nick Ahmed,Arizona Diamondbacks,NL,198,42,0.212
Evan Longoria,Arizona Diamondbacks,NL,211,47,0.223
Alek Thomas,Arizona Diamondbacks,NL,374,86,0.23
Jake McCarthy,Arizona Diamondbacks,NL,276,67,0.243
Geraldo Perdomo,Arizona Diamondbacks,NL,407,100,0.246
Emmanuel Rivera,Arizona Diamondbacks,NL,257,67,0.261
Gabriel Moreno,Arizona Diamondbacks,NL,341,97,0.284
Christian Walker,Arizona Diamondbacks,NL,582,150,0.258
Lourdes Gurriel Jr.,Arizona Diamondbacks,NL,551,144,0.261
Ketel Marte,Arizona Diamondbacks,NL,569,157,0.276
Corbin Carroll,Arizona Diamondbacks,NL,565,161,0.285
Travis d'Arnaud,Atlanta Braves,NL,267,60,0.225
Kevin Pillar,Atlanta Braves,NL,197,45,0.228
Sean Murphy,Atlanta Braves,NL,370,93,0.251
Eddie Rosario,Atlanta Braves,NL,478,122,0.255
Orlando Arcia,Atlanta Braves,NL,488,129,0.264
Marcell Ozuna,Atlanta Braves,NL,530,145,0.274
Ozzie Albies,Atlanta Braves,NL,596,167,0.28
Austin Riley,Atlanta Braves,NL,636,179,0.281
Matt Olson,Atlanta Braves,NL,608,172,0.283
Michael Harris II,Atlanta Braves,NL,505,148,0.293
Ronald Acuña Jr.,Atlanta Braves,NL,643,217,0.337
Jorge Mateo,Baltimore Orioles,AL,318,69,0.217
James McCann,Baltimore Orioles,AL,207,46,0.222
Cedric Mullins,Baltimore Orioles,AL,404,94,0.233
Adam Frazier,Baltimore Orioles,AL,412,99,0.24
Ryan McKenna,Baltimore Orioles,AL,122,31,0.254
Jordan Westburg,Baltimore Orioles,AL,208,54,0.26
Ramón Urías,Baltimore Orioles,AL,360,95,0.264
Ryan Mountcastle,Baltimore Orioles,AL,423,114,0.27
Ryan O'Hearn,Baltimore Orioles,AL,346,100,0.289
Gunnar Henderson,Baltimore Orioles,AL,560,143,0.255
Anthony Santander,Baltimore Orioles,AL,591,152,0.257
Austin Hays,Baltimore Orioles,AL,520,143,0.275
Adley Rutschman,Baltimore Orioles,AL,588,163,0.277
Yu Chang,Boston Red Sox,AL,105,17,0.162
Trevor Story,Boston Red Sox,AL,158,32,0.203
Connor Wong,Boston Red Sox,AL,371,87,0.235
Christian Arroyo,Boston Red Sox,AL,195,47,0.241
Adam Duvall,Boston Red Sox,AL,320,79,0.247
Rob Refsnyder,Boston Red Sox,AL,202,50,0.248
Enmanuel Valdéz,Boston Red Sox,AL,139,37,0.266
Reese McGuire,Boston Red Sox,AL,187,50,0.267
Pablo Reyes,Boston Red Sox,AL,167,48,0.287
Jarren Duran,Boston Red Sox,AL,332,98,0.295
Triston Casas,Boston Red Sox,AL,429,113,0.263
Alex Verdugo,Boston Red Sox,AL,546,144,0.264
Rafael Devers,Boston Red Sox,AL,580,157,0.271
Justin Turner,Boston Red Sox,AL,558,154,0.276
Masataka Yoshida,Boston Red Sox,AL,537,155,0.289
Tucker Barnhart,Chicago Cubs,NL,109,22,0.202
Patrick Wisdom,Chicago Cubs,NL,268,55,0.205
Miguel Amaya,Chicago Cubs,NL,131,28,0.214
Trey Mancini,Chicago Cubs,NL,235,55,0.234
Miles Mastrobuoni,Chicago Cubs,NL,133,32,0.241
Christopher Morel,Chicago Cubs,NL,388,96,0.247
Mike Tauchman,Chicago Cubs,NL,337,85,0.252
Nick Madrigal,Chicago Cubs,NL,270,71,0.263
Yan Gomes,Chicago Cubs,NL,382,102,0.267
Dansby Swanson,Chicago Cubs,NL,565,138,0.244
Ian Happ,Chicago Cubs,NL,580,144,0.248
Nico Hoerner,Chicago Cubs,NL,619,175,0.283
Seiya Suzuki,Chicago Cubs,NL,515,147,0.285
Cody Bellinger,Chicago Cubs,NL,499,153,0.307
Lenyn Sosa,Chicago White Sox,AL,164,33,0.201
Gavin Sheets,Chicago White Sox,AL,311,63,0.203
Oscar Colás,Chicago White Sox,AL,245,53,0.216
Yasmani Grandal,Chicago White Sox,AL,363,85,0.234
Elvis Andrus,Chicago White Sox,AL,374,94,0.251
Zach Remillard,Chicago White Sox,AL,147,37,0.252
Yoán Moncada,Chicago White Sox,AL,334,87,0.26
Eloy Jiménez,Chicago White Sox,AL,456,124,0.272
Tim Anderson,Chicago White Sox,AL,493,121,0.245
Andrew Vaughn,Chicago White Sox,AL,566,146,0.258
Andrew Benintendi,Chicago White Sox,AL,562,147,0.262
Luis Robert Jr.,Chicago White Sox,AL,546,144,0.264
Wil Myers,Cincinnati Reds,NL,127,24,0.189
Joey Votto,Cincinnati Reds,NL,208,42,0.202
Jose Barrero,Cincinnati Reds,NL,133,29,0.218
Stuart Fairchild,Cincinnati Reds,NL,219,50,0.228
Elly De La Cruz,Cincinnati Reds,NL,388,91,0.235
Luke Maile,Cincinnati Reds,NL,179,42,0.235
Nick Senzel,Cincinnati Reds,NL,301,71,0.236
Kevin Newman,Cincinnati Reds,NL,225,57,0.253
Jake Fraley,Cincinnati Reds,NL,336,86,0.256
Christian Encarnacion-Strand,Cincinnati Reds,NL,222,60,0.27
Will Benson,Cincinnati Reds,NL,287,79,0.275
Matt McLain,Cincinnati Reds,NL,365,106,0.29
Noelvi Marté,Cincinnati Reds,NL,114,36,0.316
Tyler Stephenson,Cincinnati Reds,NL,465,113,0.243
Jonathan India,Cincinnati Reds,NL,454,111,0.244
Spencer Steer,Cincinnati Reds,NL,582,158,0.271
TJ Friedl,Cincinnati Reds,NL,488,136,0.279
Cam Gallagher,Cleveland Guardians,AL,143,18,0.126
Mike Zunino,Cleveland Guardians,AL,124,22,0.177
Gabriel Arias,Cleveland Guardians,AL,315,66,0.21
Oscar González,Cleveland Guardians,AL,173,37,0.214
Kole Calhoun,Cleveland Guardians,AL,157,34,0.217
Bo Naylor,Cleveland Guardians,AL,198,47,0.237
David Fry,Cleveland Guardians,AL,101,24,0.238
Tyler Freeman,Cleveland Guardians,AL,153,37,0.242
Will Brennan,Cleveland Guardians,AL,432,115,0.266
Josh Naylor,Cleveland Guardians,AL,452,139,0.308
Myles Straw,Cleveland Guardians,AL,462,110,0.238
Andrés Giménez,Cleveland Guardians,AL,557,140,0.251
Steven Kwan,Cleveland Guardians,AL,638,171,0.268
José Ramírez,Cleveland Guardians,AL,611,172,0.282
Michael Toglia,Colorado Rockies,NL,141,23,0.163
Brenton Doyle,Colorado Rockies,NL,399,81,0.203
Alan Trejo,Colorado Rockies,NL,207,48,0.232
Kris Bryant,Colorado Rockies,NL,300,70,0.233
Elehuris Montero,Colorado Rockies,NL,284,69,0.243
Harold Castro,Colorado Rockies,NL,258,65,0.252
Brendan Rodgers,Colorado Rockies,NL,178,46,0.258
Charlie Blackmon,Colorado Rockies,NL,359,100,0.279
Nolan Jones,Colorado Rockies,NL,367,109,0.297
Ryan McMahon,Colorado Rockies,NL,555,133,0.24
Ezequiel Tovar,Colorado Rockies,NL,581,147,0.253
Elias Díaz,Colorado Rockies,NL,486,130,0.267
Nick Maton,Detroit Tigers,AL,249,43,0.173
Zack Short,Detroit Tigers,AL,221,45,0.204
Jonathan Schoop,Detroit Tigers,AL,136,29,0.213
