teamID,yearID,lgID,G,W,L,R,RA
BSN,1876,NL,70,39,31,471,450
CHN,1876,NL,66,52,14,624,257
CN1,1876,NL,65,9,56,238,579
HAR,1876,NL,69,47,21,429,261
LS1,1876,NL,69,30,36,280,344
NY3,1876,NL,57,21,35,260,412
PHN,1876,NL,60,14,45,378,534
SL3,1876,NL,64,45,19,386,229
BSN,1877,NL,61,42,18,419,263
CHN,1877,NL,60,26,33,366,375
CN1,1877,NL,58,15,42,291,485
HAR,1877,NL,60,31,27,341,311
LS1,1877,NL,61,35,25,339,288
SL3,1877,NL,60,28,32,284,318
BSN,1878,NL,60,41,19,298,241
CHN,1878,NL,61,30,30,371,331
CN1,1878,NL,61,37,23,333,281
IN1,1878,NL,63,24,36,293,328
ML2,1878,NL,61,15,45,256,386
PRO,1878,NL,62,33,27,353,337
BFN,1879,NL,79,46,32,394,365
BSN,1879,NL,84,54,30,562,348
CHN,1879,NL,83,46,33,437,411
CL2,1879,NL,82,27,55,322,461
CN1,1879,NL,81,43,37,485,464
PRO,1879,NL,85,59,25,612,355
SR1,1879,NL,71,22,48,276,462
TRN,1879,NL,77,19,56,321,543
BFN,1880,NL,85,24,58,331,502
BSN,1880,NL,86,40,44,416,456
CHN,1880,NL,86,67,17,538,317
CL2,1880,NL,85,47,37,387,337
CN1,1880,NL,83,21,59,296,472
PRO,1880,NL,87,52,32,419,299
TRN,1880,NL,83,41,42,392,438
WOR,1880,NL,85,40,43,412,370
BFN,1881,NL,83,45,38,440,447
BSN,1881,NL,83,38,45,347,410
CHN,1881,NL,84,56,28,550,380
CL2,1881,NL,85,36,48,392,414
DTN,1881,NL,84,41,43,440,429
PRO,1881,NL,85,47,37,447,426
TRN,1881,NL,85,39,45,399,427
WOR,1881,NL,83,32,50,410,492
BFN,1882,NL,84,45,39,500,461
BSN,1882,NL,85,45,39,472,414
CHN,1882,NL,84,55,29,604,353
CL2,1882,NL,84,42,40,402,411
DTN,1882,NL,86,42,41,407,488
