manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,price_usd,is_exchangeable,number_of_photos,up_counter,duration_listed
Subaru,Outback,automatic,silver,190000,2010,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,10900,FALSE,9,13,16
Subaru,Outback,automatic,blue,290000,2002,gasoline,FALSE,gasoline,3,universal,FALSE,owned,all,5000,TRUE,12,54,83
Subaru,Forester,automatic,red,402000,2001,gasoline,FALSE,gasoline,2.5,suv,FALSE,owned,all,2800,TRUE,4,72,151
Subaru,Impreza,mechanical,blue,10000,1999,gasoline,FALSE,gasoline,3,sedan,FALSE,owned,all,9999,TRUE,9,42,86
Subaru,Legacy,automatic,black,280000,2001,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,2134.11,TRUE,14,7,7
Subaru,Outback,automatic,silver,132449,2011,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,14700,TRUE,20,56,67
Subaru,Forester,automatic,black,318280,1998,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,3000,TRUE,8,147,307
Subaru,Legacy,automatic,silver,350000,2004,gasoline,FALSE,gasoline,2.5,sedan,FALSE,owned,all,4500,FALSE,7,29,73
Subaru,Outback,automatic,grey,179000,2010,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,12900,FALSE,17,33,87
Subaru,Forester,automatic,silver,571317,1999,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,4200,TRUE,8,11,43
Subaru,Forester,mechanical,other,280000,2003,gasoline,FALSE,gasoline,2,suv,FALSE,owned,all,6900,TRUE,14,6,11
Subaru,Tribeca,automatic,grey,256000,2008,gasoline,FALSE,gasoline,3.6,suv,FALSE,owned,all,8350,TRUE,18,61,80
Subaru,Forester,mechanical,other,321000,2002,gasoline,FALSE,gasoline,2,suv,FALSE,owned,all,4300,FALSE,13,2,2
Subaru,Justy,mechanical,red,49999,2001,gasoline,FALSE,gasoline,1.3,hatchback,FALSE,owned,all,1666,FALSE,8,94,230
Subaru,Outback,automatic,brown,154685,2011,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,8600,TRUE,24,34,63
Subaru,Outback,automatic,black,163219,2004,gasoline,FALSE,gasoline,2,universal,FALSE,owned,all,7300,TRUE,17,22,35
Subaru,Outback,automatic,other,318650,2005,gasoline,FALSE,gasoline,3,universal,FALSE,owned,all,7587.97,TRUE,7,166,468
Subaru,Impreza,mechanical,blue,191000,2005,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,all,10950,FALSE,12,7,21
Subaru,Forester,automatic,silver,179000,2014,gasoline,FALSE,gasoline,2,suv,FALSE,owned,all,12700,FALSE,14,14,16
Subaru,Forester,automatic,black,159000,2013,gasoline,FALSE,gasoline,2,suv,FALSE,owned,all,16500,FALSE,6,34,59
Subaru,Outback,automatic,white,257495,2008,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,8700,FALSE,10,11,13
Subaru,Tribeca,automatic,silver,241402,2005,gasoline,FALSE,gasoline,3,suv,FALSE,owned,all,7500,FALSE,18,18,188
Subaru,Tribeca,automatic,black,188000,2006,gasoline,FALSE,gasoline,3,suv,FALSE,owned,all,8650,FALSE,30,25,37
Subaru,Forester,automatic,blue,240000,2001,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,3500,TRUE,5,42,86
Subaru,Legacy,automatic,green,249448,2002,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,3800,TRUE,12,44,67
Subaru,Tribeca,automatic,other,250000,2007,gasoline,FALSE,gasoline,3,suv,FALSE,owned,all,7200,TRUE,7,62,204
Subaru,Outback,automatic,green,417000,1997,gasoline,FALSE,gasoline,2,universal,FALSE,owned,front,1850,TRUE,18,23,71
Subaru,Outback,automatic,violet,377000,1999,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,3800,FALSE,12,10,21
Subaru,Impreza,mechanical,black,300000,1999,gasoline,FALSE,gasoline,2,universal,FALSE,owned,all,3000,FALSE,6,103,581
Subaru,Legacy,mechanical,black,270000,2004,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,all,6200,FALSE,10,21,48
Subaru,Forester,mechanical,green,444444,1999,gasoline,FALSE,gasoline,2,universal,FALSE,owned,all,3700,FALSE,6,20,60
Subaru,Legacy,automatic,black,299000,1994,gas,TRUE,gasoline,2.2,universal,FALSE,owned,all,650,FALSE,9,47,85
Subaru,Impreza,mechanical,violet,340000,1993,gasoline,FALSE,gasoline,1.6,universal,FALSE,owned,all,2000,TRUE,4,5,91
Subaru,Legacy,mechanical,black,123456,1991,gasoline,FALSE,gasoline,2.2,sedan,FALSE,owned,all,800,FALSE,6,16,20
Subaru,Impreza,mechanical,silver,118000,2011,gasoline,FALSE,gasoline,2.5,sedan,FALSE,owned,all,14950,TRUE,26,132,174
Subaru,Impreza,automatic,black,246113,2008,gasoline,FALSE,gasoline,1.5,hatchback,FALSE,owned,all,5350,FALSE,13,11,62
Subaru,Outback,automatic,green,128748,2016,gasoline,FALSE,gasoline,3.6,universal,FALSE,owned,all,17059.12,FALSE,24,11,15
Subaru,Legacy,mechanical,red,100000,1994,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,all,1700,TRUE,6,42,91
Subaru,Outback,automatic,blue,342790,1999,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,3500,TRUE,14,40,70
Subaru,Forester,mechanical,silver,390000,1997,gasoline,FALSE,gasoline,2,suv,FALSE,owned,all,3000,TRUE,8,28,46
Subaru,Forester,automatic,black,215000,2008,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,8100,FALSE,10,1,1
Subaru,Outback,mechanical,grey,288500,2006,gas,TRUE,gasoline,2.5,universal,FALSE,owned,all,8500,FALSE,25,2,2
Subaru,Tribeca,automatic,grey,225000,2005,gas,TRUE,gasoline,3,suv,FALSE,owned,all,7500,FALSE,7,330,419
Subaru,Outback,automatic,green,310000,2001,gasoline,FALSE,gasoline,2.5,liftback,FALSE,owned,all,3300,TRUE,4,1,1
Subaru,Forester,automatic,white,121000,2014,gasoline,FALSE,gasoline,2,suv,FALSE,owned,all,14950,TRUE,16,77,109
Subaru,Forester,automatic,blue,242000,2003,gasoline,FALSE,gasoline,2.5,suv,FALSE,owned,all,4490,TRUE,16,3,10
Subaru,Outback,mechanical,green,286,1998,gasoline,FALSE,gasoline,2.5,universal,FALSE,owned,all,2650,TRUE,11,2,2
Subaru,Legacy,automatic,grey,209000,2007,gasoline,FALSE,gasoline,2,sedan,FALSE,owned,all,6950,FALSE,10,5,6
Subaru,Legacy,mechanical,silver,195000,2006,gasoline,FALSE,gasoline,3,sedan,FALSE,owned,all,8200,FALSE,12,12,15
