Player,Team,League,BattingAvg,AtBats,Hits,Year
Evan Longoria,Tampa Bay Rays,American League,0.281,584,164,2009
Jose Guillen,Kansas City Royals,American League,0.242,281,68,2009
John Buck,Kansas City Royals,American League,0.247,186,46,2009
Mike Napoli,Los Angeles Angels of Anaheim,American League,0.272,382,104,2009
Andrew McCutchen,Pittsburgh Pirates,National League,0.286,433,124,2009
Mark DeRosa,St. Louis Cardinals,National League,0.228,237,54,2009
Kevin Youkilis,Boston Red Sox,American League,0.305,491,150,2009
Russell Martin,Los Angeles Dodgers,National League,0.25,505,126,2009
Miguel Cabrera,Detroit Tigers,American League,0.324,611,198,2009
Scott Podsednik,Chicago White Sox,American League,0.304,537,163,2009
Miguel Tejada,Houston Astros,National League,0.313,635,199,2009
Angel Pagan,New York Mets,National League,0.306,343,105,2009
Willie Bloomquist,Kansas City Royals,American League,0.265,434,115,2009
Jose Lopez,Seattle Mariners,American League,0.272,613,167,2009
Alfonso Soriano,Chicago Cubs,National League,0.241,477,115,2009
Michael Young,Texas Rangers,American League,0.322,541,174,2009
Nick Hundley,San Diego Padres,National League,0.238,256,61,2009
Andy LaRoche,Pittsburgh Pirates,National League,0.258,524,135,2009
Chris Snyder,Arizona Diamondbacks,National League,0.2,165,33,2009
Austin Kearns,Washington Nationals,National League,0.195,174,34,2009
Koyie Hill,Chicago Cubs,National League,0.237,253,60,2009
Michael Bourn,Houston Astros,National League,0.285,606,173,2009
Placido Polanco,Detroit Tigers,American League,0.285,618,176,2009
Daric Barton,Oakland Athletics,American League,0.269,160,43,2009
Jose Morales,Minnesota Twins,American League,0.311,119,37,2009
Cody Ross,Florida Marlins,National League,0.27,559,151,2009
Jose Reyes,New York Mets,National League,0.279,147,41,2009
Wladimir Balentien,Cincinnati Reds,National League,0.264,110,29,2009
Victor Martinez,Cleveland Indians,American League,0.284,377,107,2009
Jim Thome,Chicago White Sox,American League,0.249,345,86,2009
Cliff Pennington,Oakland Athletics,American League,0.279,208,58,2009
Juan Pierre,Los Angeles Dodgers,National League,0.308,380,117,2009
David Eckstein,San Diego Padres,National League,0.26,503,131,2009
Kelly Johnson,Atlanta Braves,National League,0.224,303,68,2009
Skip Schumaker,St. Louis Cardinals,National League,0.303,532,161,2009
Ramon Santiago,Detroit Tigers,American League,0.267,262,70,2009
Julio Lugo,Boston Red Sox,American League,0.284,109,31,2009
James Loney,Los Angeles Dodgers,National League,0.281,576,162,2009
Frank Catalanotto,Milwaukee Brewers,National League,0.278,144,40,2009
Steven Pearce,Pittsburgh Pirates,National League,0.206,165,34,2009
Aaron Rowand,San Francisco Giants,National League,0.261,499,130,2009
Nyjer Morgan,Washington Nationals,National League,0.351,191,67,2009
Chone Figgins,Los Angeles Angels of Anaheim,American League,0.298,615,183,2009
Eugenio Velez,San Francisco Giants,National League,0.267,285,76,2009
Hideki Matsui,New York Yankees,American League,0.274,456,125,2009
Kyle Blanks,San Diego Padres,National League,0.25,148,37,2009
Ramon Vazquez,Pittsburgh Pirates,National League,0.23,204,47,2009
Omar Vizquel,Texas Rangers,American League,0.266,177,47,2009
Paul Konerko,Chicago White Sox,American League,0.277,546,151,2009
Derrek Lee,Chicago Cubs,National League,0.306,532,163,2009
Matt Holliday,Oakland Athletics,American League,0.286,346,99,2009
Jason Giambi,Oakland Athletics,American League,0.193,269,52,2009
Jack Wilson,Pittsburgh Pirates,National League,0.267,266,71,2009
Jason Michaels,Houston Astros,National League,0.237,135,32,2009
Daniel Murphy,New York Mets,National League,0.266,508,135,2009
Julio Lugo,St. Louis Cardinals,National League,0.277,148,41,2009
Elvis Andrus,Texas Rangers,American League,0.267,480,128,2009
Colby Rasmus,St. Louis Cardinals,National League,0.251,474,119,2009
Jamey Carroll,Cleveland Indians,American League,0.276,315,87,2009
Gregg Zaun,Baltimore Orioles,American League,0.244,168,41,2009
Willie Harris,Washington Nationals,National League,0.235,323,76,2009
Andruw Jones,Texas Rangers,American League,0.214,281,60,2009
Yuniesky Betancourt,Kansas City Royals,American League,0.24,246,59,2009
Edgar Renteria,San Francisco Giants,National League,0.25,460,115,2009
Mike Aviles,Kansas City Royals,American League,0.183,120,22,2009
Matt Diaz,Atlanta Braves,National League,0.313,371,116,2009
Matt Stairs,Philadelphia Phillies,National League,0.194,103,20,2009
Nate McLouth,Pittsburgh Pirates,National League,0.256,168,43,2009
Chris Iannetta,Colorado Rockies,National League,0.228,289,66,2009
Ryan Hanigan,Cincinnati Reds,National League,0.263,251,66,2009
Wil Nieves,Washington Nationals,National League,0.259,224,58,2009
Rocco Baldelli,Boston Red Sox,American League,0.253,150,38,2009
Carlos Lee,Houston Astros,National League,0.3,610,183,2009
Brandon Allen,Arizona Diamondbacks,National League,0.202,104,21,2009
Josh Wilson,Seattle Mariners,American League,0.25,128,32,2009
Mark Teahen,Kansas City Royals,American League,0.271,524,142,2009
Eric Hinske,Pittsburgh Pirates,National League,0.255,106,27,2009
Rickie Weeks,Milwaukee Brewers,National League,0.272,147,40,2009
Ryan Braun,Milwaukee Brewers,National League,0.32,635,203,2009
Matt Kemp,Los Angeles Dodgers,National League,0.297,606,180,2009
Alexis Rios,Chicago White Sox,American League,0.199,146,29,2009
Bobby Crosby,Oakland Athletics,American League,0.223,238,53,2009
Shane Victorino,Philadelphia Phillies,National League,0.292,620,181,2009
Elijah Dukes,Washington Nationals,National League,0.25,364,91,2009
Jack Wilson,Seattle Mariners,American League,0.224,107,24,2009
Eliezer Alfonzo,San Diego Padres,National League,0.175,114,20,2009
Raul Ibanez,Philadelphia Phillies,National League,0.272,500,136,2009
