CensusTract,ModelYear,Make,Model
28200,2013,NISSAN,LEAF
32321,2024,TESLA,MODEL 3
28200,2023,TESLA,MODEL X
09300,2019,TESLA,MODEL 3
11200,2023,TESLA,MODEL Y
32321,2020,TESLA,MODEL X
32321,2024,LUCID,AIR
11200,2023,VOLKSWAGEN,ID.4
32321,2022,TESLA,MODEL 3
11200,2020,KIA,NIRO
22803,2022,TESLA,MODEL Y
11200,2024,FORD,MUSTANG MACH-E
32321,2025,PORSCHE,TAYCAN
28200,2023,SUBARU,SOLTERRA
22803,2020,TESLA,MODEL 3
09300,2021,TESLA,MODEL 3
11200,2023,VOLKSWAGEN,ID.4
11200,2020,TESLA,MODEL S
22803,2021,TESLA,MODEL 3
22803,2024,TESLA,MODEL 3
11200,2023,CHEVROLET,BOLT EV
11200,2023,VOLKSWAGEN,ID.4
28200,2023,CHEVROLET,BOLT EV
32321,2022,TESLA,MODEL Y
22803,2023,TESLA,MODEL Y
09300,2023,CHEVROLET,BOLT EV
28200,2023,SUBARU,SOLTERRA
32321,2022,FORD,MUSTANG MACH-E
28200,2023,CHEVROLET,BOLT EV
22803,2018,NISSAN,LEAF
09300,2024,CHEVROLET,SILVERADO EV
09300,2019,NISSAN,LEAF
11200,2018,CHEVROLET,BOLT EV
28200,2023,SUBARU,SOLTERRA
11200,2023,CHEVROLET,BOLT EV
32321,2023,TESLA,MODEL Y
11200,2023,FORD,F-150
22803,2023,VOLKSWAGEN,ID.4
22803,2022,TESLA,MODEL X
32321,2022,TESLA,MODEL Y
32321,2021,TESLA,MODEL S
32321,2017,CHEVROLET,BOLT EV
11200,2024,CHEVROLET,SILVERADO EV
11200,2023,FORD,TRANSIT
11200,2023,VOLKSWAGEN,ID.4
11200,2023,FORD,MUSTANG MACH-E
22803,2024,GENESIS,GV60
11200,2024,VOLKSWAGEN,ID.4
32321,2024,TESLA,MODEL Y
22803,2023,VOLKSWAGEN,ID.4
09300,2024,BMW,I5
11200,2024,TESLA,MODEL Y
11200,2023,FORD,F-150
11200,2024,CHEVROLET,SILVERADO EV
11200,2023,CHEVROLET,BOLT EUV
28200,2023,SUBARU,SOLTERRA
28200,2023,HYUNDAI,KONA ELECTRIC
28200,2023,HYUNDAI,KONA ELECTRIC
32321,2019,CHEVROLET,BOLT EV
28200,2023,CHEVROLET,BOLT EV
32321,2023,TESLA,MODEL Y
22803,2018,TESLA,MODEL X
22803,2024,TESLA,MODEL Y
09300,2022,TESLA,MODEL 3
32321,2018,TESLA,MODEL 3
28200,2024,KIA,NIRO
09300,2024,BMW,I4
32321,2017,CHEVROLET,BOLT EV
32321,2023,TESLA,MODEL X
22803,2021,PORSCHE,TAYCAN
11200,2023,TESLA,MODEL Y
09300,2021,TESLA,MODEL 3
28200,2023,HYUNDAI,KONA ELECTRIC
22803,2024,TESLA,MODEL Y
11200,2022,VOLKSWAGEN,ID.4
22803,2023,TESLA,MODEL Y
11200,2023,CHEVROLET,BOLT EV
22803,2023,VOLKSWAGEN,ID.4
09300,2021,TESLA,MODEL Y
28200,2023,SUBARU,SOLTERRA
32321,2022,TESLA,MODEL Y
28200,2023,SUBARU,SOLTERRA
32321,2023,TESLA,MODEL 3
32321,2023,TESLA,MODEL Y
32321,2024,TESLA,MODEL Y
11200,2018,CHEVROLET,BOLT EV
11200,2023,VOLKSWAGEN,ID.4
09300,2023,CHEVROLET,BOLT EUV
09300,2018,TESLA,MODEL S
11200,2023,CHEVROLET,BOLT EV
22803,2023,VOLKSWAGEN,ID.4
32321,2018,TESLA,MODEL 3
09300,2024,FORD,F-150
09300,2023,FORD,TRANSIT
09300,2013,TESLA,MODEL S
11200,2017,CHEVROLET,BOLT EV
11200,2023,VOLKSWAGEN,ID.4
09300,2023,TESLA,MODEL X
22803,2018,TESLA,MODEL S
28200,2022,TESLA,MODEL 3
32321,2022,TESLA,MODEL Y
32321,2021,TESLA,MODEL Y
28200,2023,TESLA,MODEL 3
28200,2023,CHEVROLET,BOLT EUV
22803,2023,TESLA,MODEL 3
28200,2023,SUBARU,SOLTERRA
11200,2024,TESLA,MODEL Y
11200,2023,FORD,F-150
28200,2024,HYUNDAI,IONIQ 6
28200,2023,CHEVROLET,BOLT EUV
11200,2017,CHEVROLET,BOLT EV
09300,2021,TESLA,MODEL Y
22803,2024,TESLA,MODEL S
28200,2023,CHEVROLET,BOLT EV
32321,2020,TESLA,MODEL X
09300,2019,NISSAN,LEAF
28200,2024,KIA,NIRO
22803,2018,TESLA,MODEL 3
28200,2023,CHEVROLET,BOLT EV
28200,2023,CHEVROLET,BOLT EV
22803,2023,TESLA,MODEL Y
11200,2020,CHEVROLET,BOLT EV
32321,2023,TESLA,MODEL Y
28200,2020,TESLA,MODEL 3
09300,2020,TESLA,MODEL 3
09300,2024,CHEVROLET,SILVERADO EV
32321,2015,TESLA,MODEL S
11200,2021,NISSAN,LEAF
22803,2018,TESLA,MODEL 3
11200,2023,FORD,MUSTANG MACH-E
09300,2021,TESLA,MODEL Y
32321,2021,TESLA,MODEL Y
11200,2023,VOLKSWAGEN,ID.4
11200,2023,FORD,MUSTANG MACH-E
09300,2024,TESLA,MODEL Y
11200,2017,CHEVROLET,BOLT EV
32321,2022,TESLA,MODEL 3
09300,2021,TESLA,MODEL Y
11200,2022,FORD,MUSTANG MACH-E
32321,2018,TESLA,MODEL X
11200,2017,CHEVROLET,BOLT EV
11200,2024,NISSAN,ARIYA
11200,2023,VOLKSWAGEN,ID.4
11200,2023,FORD,TRANSIT
32321,2016,TESLA,MODEL X
11200,2024,CHEVROLET,SILVERADO EV
09300,2020,TESLA,MODEL Y
22803,2023,TESLA,MODEL 3
32321,2022,TESLA,MODEL Y
09300,2024,TESLA,MODEL Y
32321,2023,TESLA,MODEL X
28200,2023,SUBARU,SOLTERRA
11200,2023,VOLKSWAGEN,ID.4
22803,2021,FORD,MUSTANG MACH-E
09300,2023,FORD,MUSTANG MACH-E
11200,2023,FORD,F-150
09300,2023,FORD,MUSTANG MACH-E
22803,2022,TESLA,MODEL 3
11200,2023,FORD,MUSTANG MACH-E
09300,2020,TESLA,MODEL Y
32321,2024,TESLA,MODEL 3
32321,2023,TESLA,MODEL X
32321,2024,BMW,IX
32321,2023,VOLKSWAGEN,ID.4
09300,2022,TESLA,MODEL 3
11200,2023,CHEVROLET,BOLT EV
28200,2024,KIA,NIRO
32321,2021,TESLA,MODEL Y
28200,2023,CHEVROLET,BOLT EV
11200,2024,TOYOTA,BZ4X
11200,2022,CHEVROLET,BOLT EUV
11200,2015,NISSAN,LEAF
22803,2023,TESLA,MODEL Y
32321,2023,FORD,MUSTANG MACH-E
11200,2017,CHEVROLET,BOLT EV
32321,2024,BMW,IX
32321,2022,TESLA,MODEL Y
09300,2023,TESLA,MODEL X
09300,2018,NISSAN,LEAF
32321,2023,MERCEDES-BENZ,EQE-CLASS SUV
09300,2023,FORD,TRANSIT
09300,2023,NISSAN,LEAF
28200,2023,SUBARU,SOLTERRA
22803,2018,TESLA,MODEL 3
09300,2023,FORD,F-150
22803,2024,TESLA,MODEL Y
22803,2024,TESLA,MODEL Y
22803,2023,TESLA,MODEL Y
22803,2023,RIVIAN,R1S
32321,2023,HYUNDAI,IONIQ 5
32321,2019,VOLKSWAGEN,E-GOLF
09300,2020,TESLA,MODEL 3
09300,2021,TESLA,MODEL Y
32321,2014,SMART,FORTWO ELECTRIC DRIVE
22803,2023,VOLKSWAGEN,ID.4
11200,2023,VOLKSWAGEN,ID.4
22803,2024,TESLA,MODEL Y
11200,2018,NISSAN,LEAF
32321,2023,TESLA,MODEL Y
32321,2018,TESLA,MODEL 3
32321,2018,TESLA,MODEL 3
09300,2016,NISSAN,LEAF
28200,2024,SUBARU,SOLTERRA
11200,2023,VOLKSWAGEN,ID.4
22803,2023,VOLKSWAGEN,ID.4
11200,2021,MINI,HARDTOP
28200,2022,NISSAN,LEAF
32321,2018,TESLA,MODEL 3
22803,2021,TESLA,MODEL Y
22803,2023,TESLA,MODEL Y
22803,2023,FORD,TRANSIT
22803,2018,TESLA,MODEL 3
09300,2020,TESLA,MODEL 3
28200,2023,SUBARU,SOLTERRA
09300,2023,NISSAN,LEAF
09300,2023,FORD,TRANSIT
28200,2023,CHEVROLET,BOLT EV
28200,2024,KIA,NIRO
22803,2023,FORD,TRANSIT
28200,2023,CHEVROLET,BOLT EUV
11200,2017,CHEVROLET,BOLT EV
22803,2022,TESLA,MODEL 3
11200,2023,CHEVROLET,BOLT EV
32321,2022,TESLA,MODEL Y
09300,2022,TESLA,MODEL X
09300,2023,CHEVROLET,BOLT EV
22803,2023,VOLKSWAGEN,ID.4
32321,2022,TESLA,MODEL Y
