state_terr,total_bases,avg_base_area_state,avg_geographical_spread,avg_strategic_score_state
Alabama,32,4.3981,13117.5507,3.0225
Alaska,15,93.1673,171419.7556,3.1205
Arizona,19,258.3446,134528.5815,3.2662
Arkansas,5,26.7117,65301.7548,3.0868
California,73,95.3889,79729.4107,3.1324
Colorado,10,81.9546,46034.9518,3.1482
Connecticut,5,0.7437,15514.3217,3.0152
Delaware,4,1.5371,1213.6102,3.0187
District of Columbia,5,0.3229,7350.1,3.0084
Florida,42,11.3483,77494.0845,3.0372
Georgia,20,46.5386,104868.0215,3.126
Guam,26,1.1351,12205.0219,3.0101
Hawaii,39,4.352,16536.53,3.0273
Idaho,7,41.5228,80538.5296,3.0682
Illinois,14,3.155,18225.5252,3.033
Indiana,11,27.7702,56436.2431,3.0818
Iowa,7,28.4627,1853.7742,3.2521
Kansas,7,28.7024,48909.7426,3.0745
Kentucky,6,30.921,72089.2082,3.1026
Louisiana,14,57.6908,158374.338,3.1844
Maine,7,3.6038,22116.412,3.0297
Maryland,25,5.4159,21341.3788,3.0258
Massachusetts,10,4.032,18817.6544,3.0305
Michigan,9,20.9029,111302.6388,3.0942
Minnesota,10,3.2474,81324.1702,3.0224
Mississippi,12,21.9223,34796.1055,3.0637
Missouri,13,10.1002,30544.7817,3.0346
Montana,5,6.6267,34835.3968,3.0341
Nebraska,8,1.4506,8375.4312,3.0186
Nevada,13,293.7595,162878.4324,3.3317
New Hampshire,4,0.9601,11493.1359,3.0113
New Jersey,10,7.0036,22729.2176,3.0426
New Mexico,10,610.7759,159425.0442,3.4585
New York,17,6.0696,19228.9997,3.0221
North Carolina,16,30.9277,73350.7581,3.1027
North Dakota,7,4.5452,43418.4765,3.0357
Ohio,15,2.6446,7966.6095,3.0191
Oklahoma,15,39.7942,14576.6964,3.0861
Oregon,11,28.0466,21677.8686,3.0678
Pennsylvania,16,2.4605,21096.7662,3.0177
Puerto Rico,7,2.4438,9596.2514,3.0188
Rhode Island,5,0.4159,33952.7182,3.0165
South Carolina,14,17.9184,47623.8218,3.0698
South Dakota,7,1.5395,3610.9626,3.0151
Tennessee,15,22.6004,12753.7886,3.0839
Texas,42,73.4102,79298.3289,3.1082
Utah,11,169.4827,121517.915,3.1815
Vermont,5,2.5069,19262.4162,3.0171
Virginia,42,16.015,48245.7226,3.0642
Washington,20,53.0936,50353.5131,3.0948
West Virginia,8,1.8537,20613.8467,3.025
Wisconsin,7,12.6145,57789.5682,3.0539
Wyoming,3,44.3271,,3.1697
