Row Index,Column,Value,Q1,Q3,IQR,Lower Bound,Upper Bound,Type
15,PERIMETER,37.22093134,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
25,PERIMETER,40.63022482,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
61,PERIMETER,42.94972842,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
96,PERIMETER,35.20739677,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
107,PERIMETER,38.68109414,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
115,PERIMETER,38.12624532,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
124,PERIMETER,33.25063043,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
204,PERIMETER,41.43605759,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
217,PERIMETER,39.25145027,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
244,PERIMETER,37.07550981,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
273,PERIMETER,44.19571243,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
285,PERIMETER,42.37537949,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
349,PERIMETER,38.01773609,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
362,PERIMETER,43.85006229,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
370,PERIMETER,32.75334077,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
388,PERIMETER,34.93170367,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
399,PERIMETER,36.9530397,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
413,PERIMETER,35.18744116,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
420,PERIMETER,36.94683316,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
434,PERIMETER,43.04942674,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
437,PERIMETER,39.21101987,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
479,PERIMETER,35.11808797,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
486,PERIMETER,30.38021256,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
492,PERIMETER,34.72159265,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
493,PERIMETER,36.82437325,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
521,PERIMETER,42.46091876,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
526,PERIMETER,31.85232816,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
537,PERIMETER,41.2768468,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
572,PERIMETER,31.23794144,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
582,PERIMETER,37.18808259,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
637,PERIMETER,34.06452565,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
658,PERIMETER,38.0059666,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
675,PERIMETER,33.53586982,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
681,PERIMETER,32.4607757,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
691,PERIMETER,30.40928408,2.04114855,13.30399099,11.26284244,-14.853115110000001,30.198254650000003,High
15,AREA,51.75645043,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
25,AREA,18.03094326,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
33,AREA,11.62878241,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
43,AREA,12.45540982,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
47,AREA,11.39643406,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
61,AREA,43.30089688,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
69,AREA,30.99643263,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
72,AREA,12.90102004,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
73,AREA,20.71375137,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
74,AREA,12.92052491,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
96,AREA,39.68713188,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
97,AREA,35.66381945,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
107,AREA,52.31582472,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
115,AREA,85.3415596,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
125,AREA,19.57179064,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
138,AREA,27.21652316,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
168,AREA,22.11571068,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
169,AREA,13.30250948,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
171,AREA,13.00441116,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
172,AREA,13.49802508,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
177,AREA,34.78530348,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
190,AREA,16.82885422,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
204,AREA,26.99192652,0.16075273,4.53168279,4.370930059999999,-6.395642359999998,11.088077879999998,High
