Index,Method_Count,Methods
2,3,"zscore, iqr, pca"
28,3,"zscore, iqr, pca"
561,3,"zscore, iqr, pca"
585,3,"zscore, iqr, pca"
88,3,"zscore, iqr, pca"
109,3,"zscore, iqr, pca"
110,3,"zscore, iqr, pca"
111,3,"zscore, iqr, pca"
623,3,"zscore, iqr, pca"
653,3,"zscore, iqr, pca"
162,3,"zscore, iqr, pca"
188,3,"zscore, iqr, pca"
189,3,"zscore, iqr, pca"
230,3,"zscore, iqr, pca"
250,3,"zscore, iqr, pca"
767,3,"zscore, iqr, pca"
775,3,"zscore, iqr, pca"
322,3,"zscore, iqr, pca"
344,3,"zscore, iqr, pca"
411,3,"zscore, iqr, pca"
427,3,"zscore, iqr, pca"
459,3,"zscore, iqr, pca"
9,2,"iqr, pca"
12,2,"iqr, pca"
15,2,"iqr, pca"
528,2,"iqr, pca"
535,2,"iqr, pca"
30,2,"iqr, pca"
36,2,"iqr, pca"
549,2,"iqr, pca"
554,2,"iqr, pca"
50,2,"iqr, pca"
53,2,"iqr, pca"
582,2,"iqr, pca"
592,2,"iqr, pca"
601,2,"iqr, pca"
96,2,"iqr, pca"
113,2,"iqr, pca"
639,2,"iqr, pca"
139,2,"iqr, pca"
654,2,"iqr, pca"
656,2,"iqr, pca"
156,2,"iqr, pca"
669,2,"iqr, pca"
158,2,"iqr, pca"
163,2,"iqr, pca"
678,2,"iqr, pca"
679,2,"iqr, pca"
681,2,"iqr, pca"
682,2,"iqr, pca"
185,2,"iqr, pca"
698,2,"iqr, pca"
704,2,"iqr, pca"
195,2,"iqr, pca"
216,2,"iqr, pca"
728,2,"iqr, pca"
223,2,"iqr, pca"
738,2,"iqr, pca"
248,2,"iqr, pca"
763,2,"iqr, pca"
269,2,"iqr, pca"
312,2,"iqr, pca"
327,2,"iqr, pca"
333,2,"iqr, pca"
350,2,"iqr, pca"
382,2,"iqr, pca"
388,2,"iqr, pca"
398,2,"iqr, pca"
430,2,"iqr, pca"
439,2,"iqr, pca"
441,2,"iqr, pca"
442,2,"iqr, pca"
443,2,"iqr, pca"
456,2,"iqr, pca"
457,2,"iqr, pca"
461,2,"iqr, pca"
464,2,"iqr, pca"
469,2,"iqr, pca"
495,2,"iqr, pca"
497,2,"iqr, pca"
498,2,"iqr, pca"
499,2,"iqr, pca"
502,2,"iqr, pca"
527,1,iqr
19,1,iqr
538,1,iqr
545,1,iqr
551,1,iqr
553,1,iqr
560,1,iqr
565,1,iqr
579,1,iqr
70,1,iqr
584,1,iqr
78,1,iqr
590,1,iqr
82,1,iqr
603,1,iqr
607,1,iqr
107,1,iqr
108,1,iqr
122,1,iqr
636,1,iqr
640,1,iqr
130,1,iqr
650,1,iqr
141,1,iqr
154,1,iqr
683,1,iqr
191,1,iqr
201,1,iqr
715,1,iqr
726,1,iqr
727,1,iqr
737,1,iqr
231,1,iqr
233,1,iqr
236,1,iqr
244,1,iqr
757,1,iqr
247,1,iqr
761,1,iqr
773,1,iqr
262,1,iqr
278,1,iqr
288,1,iqr
292,1,iqr
303,1,iqr
337,1,iqr
343,1,iqr
351,1,iqr
368,1,iqr
386,1,iqr
401,1,iqr
403,1,iqr
426,1,iqr
445,1,iqr
472,1,iqr
485,1,iqr
486,1,iqr
489,1,iqr
501,1,iqr
