Row Index,Column,Value,Q1,Q3,IQR,Lower Bound,Upper Bound,Type
2,PERIMETER,332.13318926,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
9,PERIMETER,57.14622739,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
12,PERIMETER,118.35630097,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
15,PERIMETER,78.52652418,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
28,PERIMETER,347.08012434,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
30,PERIMETER,89.06464246,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
36,PERIMETER,129.89177052,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
50,PERIMETER,49.52881821,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
53,PERIMETER,54.03658199,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
70,PERIMETER,42.94972842,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
88,PERIMETER,156.94185586,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
109,PERIMETER,267.52640853,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
110,PERIMETER,168.38341803,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
111,PERIMETER,152.4509978,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
113,PERIMETER,50.4921902,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
139,PERIMETER,70.91531259,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
156,PERIMETER,53.88963469,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
158,PERIMETER,66.12012551,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
162,PERIMETER,186.65165961,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
163,PERIMETER,71.75051871,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
185,PERIMETER,64.16128108,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
188,PERIMETER,178.29976752,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
189,PERIMETER,160.74338152,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
195,PERIMETER,66.85914639,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
216,PERIMETER,119.6952361,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
223,PERIMETER,77.84501672,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
230,PERIMETER,213.55074251,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
248,PERIMETER,70.91682378,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
250,PERIMETER,173.00820453,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
269,PERIMETER,56.23083171,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
303,PERIMETER,44.19571243,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
312,PERIMETER,52.04252063,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
322,PERIMETER,149.04755414,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
327,PERIMETER,119.30622946,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
333,PERIMETER,53.86377756,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
344,PERIMETER,283.58169793,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
350,PERIMETER,64.03226584,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
382,PERIMETER,75.13581087,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
388,PERIMETER,72.12018494,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
398,PERIMETER,56.0093554,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
401,PERIMETER,43.85006229,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
411,PERIMETER,235.02625837,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
427,PERIMETER,174.26717532,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
430,PERIMETER,65.30685697,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
439,PERIMETER,97.65642847,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
441,PERIMETER,131.36312209,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
442,PERIMETER,82.34844951,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
443,PERIMETER,109.76437067,2.2351777225,18.4773891325,16.24221141,-22.1281393925,42.8407062475,High
